result,GRE Score,CGPA,TOEFL Score,University Rating,Research,SOP,LOR 
1,309,8.56,99,3,0,4,4
1,324,8.64,100,3,1,4,5
1,326,8.76,102,4,1,5,5
1,331,9.34,119,4,1,5,4.5
1,327,9.13,108,5,1,5,3.5
0,312,8.09,104,3,0,3.5,4
0,308,8.36,103,2,1,2.5,4
0,324,8.79,111,3,1,2.5,1.5
1,325,8.76,110,2,1,3,2.5
0,313,8.68,102,3,0,2.5,2.5
0,312,8.45,105,2,0,2,2.5
0,314,8.17,107,3,1,3,3.5
1,327,9.14,113,4,0,4.5,5
1,308,8.34,108,4,0,4.5,5
0,306,8.22,105,2,1,2.5,3
0,299,7.86,96,2,0,1.5,2
0,294,7.64,95,1,0,1.5,1.5
0,312,8.01,99,1,1,1,1.5
0,315,7.95,100,1,0,2,2.5
1,322,8.96,110,3,1,3.5,3
1,329,9.45,113,5,1,5,4.5
0,320,8.62,101,2,0,2.5,3
0,308,8.49,103,2,0,3,3.5
0,304,8.73,102,2,0,3,4
0,311,8.64,102,3,1,4.5,4
1,317,9.11,110,3,1,4,4.5
1,312,8.79,106,3,1,4,3.5
1,321,8.9,111,3,1,2.5,3
1,340,9.66,112,4,1,5,4.5
1,331,9.26,116,5,1,4,4
1,336,9.19,118,5,1,4.5,4
1,324,9.08,114,5,1,5,4.5
1,314,9.02,104,4,0,5,5
1,313,9,109,3,0,4,3.5
0,307,7.65,105,2,0,2.5,3
0,300,7.87,102,2,0,1.5,2
0,302,7.97,99,2,0,1,2
0,312,8.18,98,1,1,3.5,3
0,316,8.32,101,2,1,2.5,2
0,317,8.57,100,2,0,3,2.5
1,310,8.67,107,3,0,3.5,3.5
1,320,9.11,120,3,0,4,4.5
1,330,9.24,114,3,1,4.5,4.5
0,305,8.65,112,3,0,3,3.5
0,309,8,106,2,0,2.5,2.5
0,319,8.76,108,2,0,2.5,3
0,322,8.45,105,2,1,3,3
0,323,8.55,107,3,1,3.5,3.5
0,313,8.43,106,2,0,2.5,2
0,321,8.8,109,3,1,3.5,3.5
1,323,9.1,110,3,1,4,3.5
1,325,9,112,4,1,4,4
0,312,8.53,108,3,0,3.5,3
0,308,8.6,110,4,0,3.5,3
1,320,8.74,104,3,1,3,3.5
1,328,9.18,108,4,1,4.5,4
1,311,9,107,4,1,4.5,4.5
0,301,8.04,100,3,0,3.5,3
0,305,8.13,105,2,0,3,4
0,308,8.07,104,2,0,2.5,3
0,298,7.86,101,2,0,1.5,2
0,300,8.01,99,1,0,1,2.5
1,324,8.8,111,3,1,2.5,2
1,327,8.69,113,4,1,3.5,3
1,317,8.5,106,3,1,4,3.5
0,323,8.44,104,3,1,4,4
0,314,8.27,107,2,0,2.5,4
0,305,8.18,102,2,0,2,2.5
0,315,8.33,104,3,0,3,2.5
1,326,9.14,116,3,1,3.5,4
0,299,8.02,100,3,0,2,2
0,295,7.86,101,2,0,2.5,2
1,324,8.77,112,4,1,4,3.5
0,297,7.89,96,2,0,2.5,1.5
1,327,8.66,113,3,1,3.5,3
0,311,8.12,105,2,1,3,2
1,308,8.21,106,3,1,3.5,2.5
0,319,8.54,108,3,1,3,3.5
0,312,8.65,107,4,1,4.5,4
1,325,9.11,111,4,1,4,4.5
0,319,8.79,110,3,0,3,2.5
1,332,9.47,118,5,1,5,5
1,323,8.74,108,5,1,4,4
1,324,8.66,107,5,1,3.5,4
1,312,8.46,107,3,1,3,3
1,326,8.76,110,3,1,3.5,3.5
0,308,8.24,106,3,0,3,3
0,305,8.13,103,2,0,2.5,3.5
0,295,7.34,96,2,0,1.5,2
0,316,7.43,98,1,0,1.5,2
0,304,7.64,97,2,0,1.5,2
0,299,7.34,94,1,0,1,1
0,302,7.25,99,1,0,2,2
0,313,8.04,101,3,0,2.5,3
0,318,8.27,107,3,1,3,3.5
0,325,8.67,110,4,1,3.5,4
0,303,8.06,100,2,1,3,3.5
0,300,8.17,102,3,0,3.5,2.5
0,297,7.67,98,2,0,2.5,3
0,317,8.12,106,2,0,2,3.5
1,327,8.77,109,3,1,3.5,4
0,301,7.89,104,2,1,3.5,3.5
0,314,7.64,105,2,0,2.5,2
1,321,8.44,107,2,0,2,1.5
1,322,8.64,110,3,1,4,5
1,334,9.54,116,4,1,4,3.5
1,338,9.23,115,5,1,4.5,5
0,306,8.36,103,2,0,2.5,3
1,313,8.9,102,3,1,3.5,4
1,330,9.17,114,4,1,4.5,3
0,320,8.34,104,3,1,3.5,4.5
0,311,7.46,98,1,0,1,2.5
0,298,7.88,92,1,0,2,2
0,301,8.03,98,1,1,2,3
0,310,8.24,103,2,0,2.5,2.5
1,324,9.22,110,3,1,3.5,3
1,336,9.62,119,4,1,4.5,4
1,321,8.54,109,3,1,3,3
0,315,7.65,105,2,0,2,2.5
0,304,7.66,101,2,0,2,2.5
0,297,7.43,96,2,0,2.5,2
0,290,7.56,100,1,0,1.5,2
0,303,7.65,98,1,0,2,2.5
0,311,8.43,99,1,1,2.5,3
1,322,8.84,104,3,1,3.5,4
0,319,8.67,105,3,1,3,3.5
1,324,9.15,110,4,1,4.5,4
0,300,8.26,100,3,0,3,3.5
1,340,9.74,113,4,1,5,5
1,335,9.82,117,5,1,5,5
0,302,7.96,101,2,0,2.5,3.5
0,307,8.1,105,2,0,2,3.5
0,296,7.8,97,2,0,1.5,2
1,320,8.44,108,3,1,3.5,4
0,314,8.24,102,2,0,2,2.5
0,318,8.65,106,3,0,2,3
1,326,9.12,112,4,1,4,3.5
1,317,8.76,104,2,0,3,3
1,329,9.23,111,4,1,4.5,4
1,324,9.04,110,3,1,3.5,3.5
1,325,9.11,107,3,1,3,3.5
1,330,9.45,116,4,1,5,4.5
0,312,8.78,103,3,0,3.5,4
1,333,9.66,117,4,1,5,4
0,304,8.22,100,2,0,3.5,3
0,315,8.34,105,2,0,3,3
1,324,8.94,109,3,1,3.5,3
1,330,9.23,116,4,1,4,3.5
0,311,7.64,101,3,1,2,2.5
0,302,7.45,99,3,0,2.5,3
0,322,8.02,103,4,1,3,2.5
0,298,7.95,100,3,1,2.5,4
0,297,7.67,101,3,1,2,4
0,300,8.02,98,1,0,2,2.5
0,301,7.56,96,1,0,3,4
0,313,8.13,94,2,0,2.5,1.5
0,314,7.88,102,4,1,2.5,2
0,317,7.94,101,3,1,3,2
0,321,8.35,110,4,1,3.5,4
1,327,8.75,106,4,1,4,4.5
0,315,8.1,104,3,0,4,2.5
0,316,7.68,103,3,0,3.5,2
0,309,8.03,111,2,0,2.5,4
0,308,7.98,102,2,1,2,3.5
0,299,7.42,100,3,0,2,3
1,321,8.95,112,3,1,3,4.5
0,322,9.02,112,4,1,3.5,2.5
1,334,9.54,119,5,1,4.5,5
1,325,9.46,114,5,1,4,5
1,323,9.86,111,5,1,4,5
0,312,8.57,106,3,0,3,5
0,310,8.65,101,3,1,3.5,5
0,316,8.74,103,2,0,2,4.5
1,340,9.06,115,5,1,5,4.5
0,311,8.13,104,3,1,4,3.5
0,320,8.78,112,2,1,3.5,3.5
1,324,9.22,112,4,1,4.5,4
0,316,8.54,111,4,0,4,5
0,306,8.21,103,3,0,3.5,3
0,309,7.68,105,2,0,2.5,4
0,310,7.23,110,1,1,1.5,4
0,317,7.65,106,1,1,1.5,3.5
0,318,8.54,110,1,1,2.5,3.5
0,312,8.46,105,2,0,1.5,3
0,305,7.79,104,2,0,2.5,1.5
1,332,8.66,112,1,1,1.5,3
1,331,9.44,116,4,1,4.5,4.5
1,321,9.16,114,5,1,4.5,4.5
1,324,9.25,113,5,1,4,5
1,328,9.08,116,5,1,4.5,5
1,327,9.67,118,4,1,5,5
1,320,8.97,108,3,1,3.5,5
1,312,9.02,109,2,0,2.5,4
1,315,9.13,101,3,0,3.5,4.5
1,320,8.86,112,4,1,3,4.5
1,324,9.25,113,4,1,4.5,4.5
1,328,9.6,116,4,1,5,3.5
0,319,8.76,103,3,1,2.5,4
0,310,8.01,105,2,0,3,3.5
0,305,7.64,102,2,0,1.5,2.5
0,299,7.88,100,2,0,2,2
0,295,7.57,99,1,0,2,1.5
0,312,8.53,100,1,1,3,3
1,329,9.36,113,4,1,4,3.5
1,319,8.66,105,4,1,4,4.5
0,301,8.13,102,3,1,2.5,2
0,307,7.94,105,4,0,3,3
0,304,7.86,107,3,0,3.5,3
0,298,7.21,97,2,0,2,3
0,305,8.26,96,4,0,3,4.5
0,314,8.73,99,4,1,3.5,4.5
1,318,8.78,101,5,1,3.5,5
1,323,8.88,110,4,1,4,5
1,326,9.16,114,4,1,4,3.5
1,320,9.27,110,5,1,4,4
0,311,8.09,103,3,0,2,4
1,327,9.48,116,4,1,4,4.5
0,316,8.15,102,2,0,4,3.5
0,308,7.95,105,4,1,3,2.5
0,300,7.88,101,3,0,3.5,2.5
0,304,8.12,104,3,0,2.5,2
0,309,8.18,105,4,0,3.5,2
0,318,8.49,103,3,1,4,4.5
1,325,8.96,110,4,1,4.5,4
1,321,9.01,102,3,1,3.5,4
1,323,8.48,107,4,1,3,2.5
1,328,8.77,113,4,1,4,2.5
0,304,7.92,103,5,0,5,3
0,317,7.89,106,3,1,3.5,3
0,311,8.34,101,2,1,2.5,3.5
0,319,8.37,102,3,0,2.5,2.5
1,327,9.14,115,4,0,3.5,4
1,322,8.62,112,3,1,3,4
0,302,8.5,110,3,0,4,4.5
0,307,8.12,105,2,1,2.5,4.5
0,297,7.81,99,4,0,3,3.5
0,298,7.69,101,4,1,2.5,4.5
0,300,8.22,95,2,1,3,1.5
0,301,8.45,99,3,1,2.5,2
1,332,9.02,108,5,1,4.5,4
1,337,9.87,117,5,1,5,5
1,330,9.56,120,5,1,4.5,5
0,312,8.43,103,4,0,4,5
1,327,9.04,113,4,0,4.5,4.5
